geoid,name,B19013001,"B19013001, Error"
14000US06037134903,"Census Tract 1349.03, Los Angeles, CA",77353,14854
14000US06037134904,"Census Tract 1349.04, Los Angeles, CA",49866,8552
14000US06037134905,"Census Tract 1349.05, Los Angeles, CA",84224,13576
14000US06037135102,"Census Tract 1351.02, Los Angeles, CA",145313,25379
14000US06037135111,"Census Tract 1351.11, Los Angeles, CA",101554,15716
14000US06037135113,"Census Tract 1351.13, Los Angeles, CA",85505,10383
14000US06037135114,"Census Tract 1351.14, Los Angeles, CA",58958,9075
14000US06037135201,"Census Tract 1352.01, Los Angeles, CA",106550,8169
14000US06037135202,"Census Tract 1352.02, Los Angeles, CA",116321,13676
14000US06037135203,"Census Tract 1352.03, Los Angeles, CA",116518,10264
14000US06037137000,"Census Tract 1370, Los Angeles, CA",123542,20374
14000US06037137103,"Census Tract 1371.03, Los Angeles, CA",89344,17969
14000US06037137104,"Census Tract 1371.04, Los Angeles, CA",106111,36498
14000US06037137201,"Census Tract 1372.01, Los Angeles, CA",77146,16000
14000US06037137301,"Census Tract 1373.01, Los Angeles, CA",156250,27086
14000US06037137302,"Census Tract 1373.02, Los Angeles, CA",145286,15318
14000US06037137401,"Census Tract 1374.01, Los Angeles, CA",125781,16337
14000US06037137402,"Census Tract 1374.02, Los Angeles, CA",115978,26534
14000US06037137501,"Census Tract 1375.01, Los Angeles, CA",92156,15693
14000US06037137502,"Census Tract 1375.02, Los Angeles, CA",99688,23194
14000US06037137504,"Census Tract 1375.04, Los Angeles, CA",143875,30995
14000US06037138000,"Census Tract 1380, Los Angeles, CA",127983,16069
14000US06037139001,"Census Tract 1390.01, Los Angeles, CA",86488,24633
14000US06037139200,"Census Tract 1392, Los Angeles, CA",70463,19695
14000US06037139301,"Census Tract 1393.01, Los Angeles, CA",126328,26574
14000US06037139302,"Census Tract 1393.02, Los Angeles, CA",46743,7442
14000US06037139303,"Census Tract 1393.03, Los Angeles, CA",54470,7688
14000US06037139401,"Census Tract 1394.01, Los Angeles, CA",57440,17616
14000US06037139402,"Census Tract 1394.02, Los Angeles, CA",137578,26508
14000US06037139502,"Census Tract 1395.02, Los Angeles, CA",79500,18671
14000US06037139503,"Census Tract 1395.03, Los Angeles, CA",57006,12813
14000US06037139504,"Census Tract 1395.04, Los Angeles, CA",56212,8467
14000US06037139600,"Census Tract 1396, Los Angeles, CA",77000,14988
14000US06037139701,"Census Tract 1397.01, Los Angeles, CA",152833,25536
14000US06037139702,"Census Tract 1397.02, Los Angeles, CA",205964,30616
14000US06037139703,"Census Tract 1397.03, Los Angeles, CA",124830,28201
14000US06037139801,"Census Tract 1398.01, Los Angeles, CA",157557,21175
14000US06037139802,"Census Tract 1398.02, Los Angeles, CA",153523,55588
14000US06037141101,"Census Tract 1411.01, Los Angeles, CA",73333,13821
14000US06037141102,"Census Tract 1411.02, Los Angeles, CA",98125,14832
14000US06037141201,"Census Tract 1412.01, Los Angeles, CA",84205,8964
14000US06037141202,"Census Tract 1412.02, Los Angeles, CA",81250,22239
14000US06037141302,"Census Tract 1413.02, Los Angeles, CA",92769,19449
14000US06037141303,"Census Tract 1413.03, Los Angeles, CA",82448,13051
14000US06037141304,"Census Tract 1413.04, Los Angeles, CA",98375,9629
14000US06037141400,"Census Tract 1414, Los Angeles, CA",101327,8644
14000US06037141500,"Census Tract 1415, Los Angeles, CA",219698,58903
14000US06037141600,"Census Tract 1416, Los Angeles, CA",196741,21498
14000US06037141700,"Census Tract 1417, Los Angeles, CA",250001,
14000US06037143100,"Census Tract 1431, Los Angeles, CA",100948,17359
14000US06037143200,"Census Tract 1432, Los Angeles, CA",75521,7215
14000US06037143300,"Census Tract 1433, Los Angeles, CA",85230,22072
14000US06037143400,"Census Tract 1434, Los Angeles, CA",116222,21566
14000US06037143500,"Census Tract 1435, Los Angeles, CA",108542,19309
14000US06037143602,"Census Tract 1436.02, Los Angeles, CA",106442,16290
